
2024/03/01 (18:33:02) | ===> btop++ v.1.3.2
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/03/01 (18:33:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
